iter	Passed	Remaining
672	2038	990
673	2041	987
674	2044	984
675	2047	981
676	2050	978
677	2053	975
678	2056	972
679	2059	969
680	2062	966
681	2065	963
682	2068	960
683	2071	957
684	2074	954
685	2077	950
686	2080	947
687	2083	944
688	2086	941
689	2089	938
690	2092	935
691	2095	932
692	2099	929
693	2102	926
694	2105	923
695	2108	920
696	2111	917
697	2114	914
698	2117	911
699	2120	908
700	2123	905
701	2126	902
702	2129	899
703	2132	896
704	2135	893
705	2138	890
706	2141	887
707	2144	884
708	2148	881
709	2151	878
710	2154	875
711	2157	872
712	2160	869
713	2164	866
714	2167	863
715	2170	860
716	2173	857
717	2176	854
718	2179	851
719	2182	848
720	2185	845
721	2188	842
722	2191	839
723	2194	836
724	2197	833
725	2200	830
726	2203	827
727	2206	824
728	2209	821
729	2212	818
730	2215	815
731	2219	812
732	2222	809
733	2225	806
734	2228	803
735	2231	800
736	2234	797
737	2237	794
738	2240	791
739	2244	788
740	2247	785
741	2250	782
742	2253	779
743	2257	776
744	2260	773
745	2263	770
746	2266	767
747	2269	764
748	2273	761
749	2276	758
750	2279	755
751	2282	752
752	2285	749
753	2288	746
754	2291	743
755	2294	740
756	2297	737
757	2300	734
758	2303	731
759	2306	728
760	2309	725
761	2312	722
762	2315	719
763	2318	716
764	2321	713
765	2324	710
766	2326	706
767	2329	703
768	2332	700
769	2335	697
770	2338	694
771	2341	691
772	2344	688
773	2347	685
774	2350	682
775	2353	679
776	2357	676
777	2360	673
778	2363	670
779	2366	667
780	2369	664
781	2372	661
782	2375	658
783	2378	655
784	2381	652
785	2384	649
786	2387	646
787	2390	643
788	2393	639
789	2396	636
790	2399	633
791	2401	630
792	2404	627
793	2407	624
794	2411	621
795	2414	618
796	2416	615
797	2419	612
798	2422	609
799	2426	606
800	2429	603
801	2432	600
802	2435	597
803	2437	594
804	2441	591
805	2444	588
806	2447	585
807	2450	582
808	2452	579
809	2455	576
810	2459	573
811	2462	570
812	2465	566
813	2468	563
814	2470	560
815	2474	557
